url,issue,priority
https://donau-ries-haustechnik.de/,Generic title starts with Home,Medium
https://donau-ries-haustechnik.de/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/,14 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/3d-planer-danke/,Missing meta description,High
https://donau-ries-haustechnik.de/3d-planer-danke/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/3d-planer-danke/,Missing canonical,Medium
https://donau-ries-haustechnik.de/3d-planer-danke/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/bad-aus-einer-hand/,Missing meta description,High
https://donau-ries-haustechnik.de/bad-aus-einer-hand/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/bad-aus-einer-hand/,Missing canonical,Medium
https://donau-ries-haustechnik.de/bad-aus-einer-hand/,4 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/bad-zum-festpreis/,Missing meta description,High
https://donau-ries-haustechnik.de/bad-zum-festpreis/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/bad-zum-festpreis/,Missing canonical,Medium
https://donau-ries-haustechnik.de/bad-zum-festpreis/,4 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/bad/,Missing meta description,High
https://donau-ries-haustechnik.de/bad/,H1 count is 9,Medium
https://donau-ries-haustechnik.de/bad/,Missing canonical,Medium
https://donau-ries-haustechnik.de/bad/,16 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/badinspiration-musterbaeder/,Missing meta description,High
https://donau-ries-haustechnik.de/badinspiration-musterbaeder/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/badinspiration-musterbaeder/,Missing canonical,Medium
https://donau-ries-haustechnik.de/badinspiration-musterbaeder/,9 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/badplanung/,Missing meta description,High
https://donau-ries-haustechnik.de/badplanung/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/badsanierung-premiumbad-ideen/,Missing meta description,High
https://donau-ries-haustechnik.de/badsanierung-premiumbad-ideen/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/badsanierung-premiumbad-ideen/,Missing canonical,Medium
https://donau-ries-haustechnik.de/badsanierung-premiumbad-ideen/,10 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/badsanierung/,Missing meta description,High
https://donau-ries-haustechnik.de/badsanierung/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/badsanierung/,Missing canonical,Medium
https://donau-ries-haustechnik.de/badsanierung/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/barrierefreies-bad/,Missing meta description,High
https://donau-ries-haustechnik.de/barrierefreies-bad/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/barrierefreies-bad/,Missing canonical,Medium
https://donau-ries-haustechnik.de/barrierefreies-bad/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/barrierefreiheitserklaerung/,Missing meta description,High
https://donau-ries-haustechnik.de/barrierefreiheitserklaerung/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/barrierefreiheitserklaerung/,Missing canonical,Medium
https://donau-ries-haustechnik.de/barrierefreiheitserklaerung/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/bhkw/,Missing meta description,High
https://donau-ries-haustechnik.de/bhkw/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/bhkw/,Missing canonical,Medium
https://donau-ries-haustechnik.de/bhkw/,4 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/budgetkalkulator-bad-ihr-ergebnis/,Missing meta description,High
https://donau-ries-haustechnik.de/budgetkalkulator-bad-ihr-ergebnis/,Missing canonical,Medium
https://donau-ries-haustechnik.de/budgetkalkulator-bad-ihr-ergebnis/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/budgetkalkulator-bad-thank-you/,Missing meta description,High
https://donau-ries-haustechnik.de/budgetkalkulator-bad-thank-you/,Missing canonical,Medium
https://donau-ries-haustechnik.de/budgetkalkulator-bad-thank-you/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/budgetkalkulator-bad-uebersicht/,Missing meta description,High
https://donau-ries-haustechnik.de/budgetkalkulator-bad-uebersicht/,Missing canonical,Medium
https://donau-ries-haustechnik.de/budgetkalkulator-bad-uebersicht/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/danke-ausbildung-shk/,Missing meta description,High
https://donau-ries-haustechnik.de/danke-ausbildung-shk/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/danke-ausbildung-shk/,Missing canonical,Medium
https://donau-ries-haustechnik.de/danke-ausbildung-shk/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/danke-bad-5000-euro/,Missing meta description,High
https://donau-ries-haustechnik.de/danke-bad-5000-euro/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/danke-bad-5000-euro/,Missing canonical,Medium
https://donau-ries-haustechnik.de/danke-bad-5000-euro/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/danke-badkonfigurator-2/,Missing meta description,High
https://donau-ries-haustechnik.de/danke-badkonfigurator-2/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/danke-badkonfigurator-2/,Missing canonical,Medium
https://donau-ries-haustechnik.de/danke-badkonfigurator-2/,5 image(s) missing alt text,Medium
https://donau-ries-haustechnik.de/danke-badsanierung-premiumbad/,Missing meta description,High
https://donau-ries-haustechnik.de/danke-badsanierung-premiumbad/,H1 count is 2,Medium
https://donau-ries-haustechnik.de/danke-badsanierung-premiumbad/,Missing canonical,Medium
https://donau-ries-haustechnik.de/danke-badsanierung-premiumbad/,5 image(s) missing alt text,Medium
